country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
U.S. Pacific Islands;0,00;0,00;0,00;0,00;0,00;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
U.S. Virgin Islands;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Uganda;0,63;0,51;0,56;0,51;0,61;0,63;0,64;0,61;0,58;0,68;0,76;0,77;0,97;0,96;1,00;1,04;1,11;1,24;1,26;1,26;1,58;1,58;1,71;1,80;1,94;1,89;1,21;1,45;1,74;1,55;1,49;1,73;2,67;3,45;3,53;3,44;3,53;3,63;
United Arab Emirates;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;
United Kingdom;3,92;4,37;4,54;4,55;3,99;4,08;4,77;6,30;6,20;6,09;5,80;5,31;6,37;5,60;6,91;6,84;5,58;6,72;8,30;9,27;9,49;11,06;12,69;12,15;14,32;16,53;16,21;16,16;16,43;17,64;17,24;20,80;22,13;24,75;30,94;39,05;40,21;41,88;
United States;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,28;0,40;0,51;0,44;0,51;0,54;0,55;0,59;0,59;0,59;0,59;0,60;0,68;0,71;0,72;0,80;0,89;1,01;1,32;2,00;2,42;3,62;5,64;10,48;17,17;28,92;39,03;54,87;77,28;
Uruguay;2,25;2,52;2,42;7,12;7,03;6,38;7,22;7,19;5,36;3,86;7,00;6,11;7,91;7,28;7,45;5,84;5,75;6,45;9,11;5,49;7,02;9,14;9,48;8,48;4,77;6,66;3,61;8,13;5,29;6,00;9,48;7,28;6,38;9,20;10,98;9,97;9,57;9,29;
Vanuatu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Venezuela;14,44;14,93;15,83;18,31;19,46;21,83;24,91;30,54;33,86;34,32;36,61;44,09;46,79;46,99;50,76;50,93;53,31;56,70;57,38;59,95;62,20;59,85;58,94;59,93;69,37;76,46;80,78;82,23;85,97;85,10;76,01;82,83;81,19;82,71;63,65;74,15;62,33;64,20;
Vietnam;1,19;1,29;1,34;1,39;1,46;1,51;1,58;1,66;1,77;3,76;5,33;6,26;7,16;7,87;9,12;10,48;11,89;11,54;10,98;13,64;14,41;18,03;18,02;18,80;17,49;20,90;20,27;22,37;25,78;29,74;27,33;40,57;52,32;51,49;59,30;56,67;65,13;70,25;
Wake Island;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Western Sahara;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Yemen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Zambia;9,01;9,68;9,91;9,93;9,78;9,85;9,70;8,35;8,29;6,70;7,73;7,72;7,66;7,67;7,67;7,79;7,04;7,81;7,46;7,64;7,71;7,85;8,06;8,21;8,41;8,83;9,61;9,57;9,46;9,84;10,40;11,43;12,29;13,21;13,97;12,98;10,99;12,15;
Zimbabwe;3,97;4,07;3,57;3,70;3,42;3,07;3,12;2,48;2,66;3,37;3,75;3,53;2,88;1,77;1,63;1,81;2,14;2,10;1,86;2,92;3,23;2,97;3,79;5,31;5,47;4,87;5,26;5,33;5,73;5,46;5,84;5,28;5,50;5,11;5,52;5,07;3,10;4,08;
